"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"3360","Kurio","Apps, Media and Entertainment, Software, Sales and Marketing, Content and Publishing, Mobile, Advertising","Dki Jakarta, Jakarta Raya, Indonesia","Operating",,2014-01-06,4,"Mobile, Content Syndication, Apps, News, Mobile Advertising","11-50",1,2,2016-03-15,5e+06,"Series B",5e+06,6e+06,6e+06,2,1,,,,,
"3361","Kigo","Travel and Tourism, Software","Philadelphia, Pennsylvania, United States","Was Acquired",,2007-01-01,5,"Travel, Software, SaaS","11-50",1,1,2013-04-01,1800000,"Series A",1800000,1800000,1800000,1,1,,,,,
"3362","KGS Buildings","Hardware, Consumer Electronics, Real Estate, Data and Analytics, Software, Internet Services","Somerville, Massachusetts, United States","Operating",,2008-01-01,,"Analytics, Smart Building, Software, Computer, Internet of Things","11-50",1,1,2016-04-14,2e+06,"Seed",2e+06,2e+06,2e+06,1,0,,,,,
"3363","KWAMBIO","Commerce and Shopping, Design","New York, New York, United States","Operating",,2014-01-01,21,"E-Commerce, Product Design, Retail","11-50",1,3,2015-06-16,650000,"Seed",650000,1150000,1170000,5,0,,,,,
"3364","Kima Labs","Mobile","San Francisco, California, United States","Was Acquired",,2010-01-01,11,"Mobile",,2,1,2010-08-01,770000,"Seed",770000,770000,770000,6,0,,,,,
"3365","Kudo","Commerce and Shopping, Information Technology, Payments, Financial Services","Jakarta, Jakarta Raya, Indonesia","Was Acquired",,2014-01-01,1,"E-Commerce, Information Technology, Payments","1-10",1,2,2016-09-14,0,"Series Unknown",0,0,0,5,3,,,,,
"3366","Kobojo","Platforms, Apps, Media and Entertainment, Software, Internet Services, Mobile","Paris, Ile-de-France, France","Operating",,2008-06-01,21,"Mobile, Social Media, Apps, iOS","11-50",2,2,2015-05-20,7e+06,"Series B",7e+06,14747010,14747010,7,3,,,,,
"3367","Kickfire Analytics","Manufacturing, Data and Analytics, Software","Santa Clara, California, United States","Was Acquired",,2006-01-01,,"Analytics, Manufacturing, Database",,0,2,2008-07-31,2e+07,"Series B",2e+07,2e+07,2e+07,6,2,,,,,
"3368","KiviHealth","Commerce and Shopping, Information Technology, Health Care, Internet Services",,"Operating",,2015-01-01,,"Health Care, Search Engine, E-Commerce, Information Technology","1-10",2,2,2016-04-07,1e+05,"Angel",1e+05,130000,130000,3,2,,,,,
"3369","Kien","Hardware, Media and Entertainment, Consumer Electronics, Music and Audio, Internet Services","Delft, Zuid-Holland, The Netherlands","Operating",,2014-10-17,,"Audio, Consumer Electronics, Music Streaming","1-10",1,2,2016-12-21,0,"Seed",0,1005103,1005103,,,,,,,
"3370","Kaai","Hardware, Sustainability","Goleta, California, United States","Operating",,2007-01-01,,"Lighting, Industrial, CleanTech",,0,3,2009-07-13,3500000,"Series B",3500000,1.1e+07,1.1e+07,2,1,,,,,
"3371","Kasita","Real Estate, Community and Lifestyle","Austin, Texas, United States","Operating",,2015-04-01,8,"Architecture, Construction, Smart Building, Lifestyle","11-50",2,,,0,,0,0,0,,,,,,,
"3372","Kedzoh","Platforms, Apps, Software, Education, Mobile","San Francisco, California, United States","Operating",,2010-01-01,7,"Education, Corporate Training, Apps, Enterprise Software, Mobile, iOS, Android, EdTech","1-10",2,3,2014-01-01,115000,"Seed",115000,175000,175000,4,0,,,,,
"3373","Koios","Sales and Marketing, Education, Internet Services","Columbia, South Carolina, United States","Operating",,2015-02-15,5,"GovTech, Education, Search Engine, Digital Marketing","1-10",1,3,2017-01-11,15000,"Grant",0,0,32500,1,0,,,,,
"3374","Keyi Technology","Science and Engineering, Hardware, Software","Beijing, Beijing, China","Operating",,2014-01-01,,"Robotics, Innovation Management","1-10",2,1,2014-11-10,25000,"Series Unknown",25000,25000,25000,3,0,,,,,
"3375","KlowdTV","Media and Entertainment, Video, Content and Publishing","Fairfax, Virginia, United States","Operating",,2014-01-01,,"Video Streaming, TV, Broadcasting","1-10",1,1,2015-09-04,635000,"Seed",635000,635000,635000,,,,,,,
"3376","Kabadiexpress","Manufacturing, Sustainability","Delhi, Delhi, India","Operating",,2015-01-01,,"Waste Management, Paper Manufacturing, Recycling",,2,1,2016-06-24,147000,"Seed",147000,147000,147000,,,,,,,
"3377","KILTR","Internet Services","Glasgow, Glasgow City, United Kingdom","Operating",,2010-10-04,1,"Web Hosting","1-10",0,1,2014-10-29,0,"Seed",0,3224766,3224766,,,,,,,
"3378","KijiFoods","Food and Beverage","Bangalore, Karnataka, India","Operating",,2015-01-01,,"Food and Beverage","11-50",1,1,2017-04-12,0,"Angel",0,464769,464769,2,2,,,,,
"3379","Kopjra Srl","Information Technology, Government and Military, Professional Services, Privacy and Security","Bologna, Emilia-Romagna, Italy","Operating",,2014-07-11,,"Law Enforcement, Intellectual Property, ICT","1-10",1,4,2016-07-15,0,"Grant",0,216163,349307,2,0,,,,,
"3380","Kiind.me","Commerce and Shopping, Financial Services","Victoria, British Columbia, Canada","Closed",,2011-01-01,,"Gift Card, E-Commerce","1-10",1,4,2013-11-29,250000,"Seed",250000,745000,745000,5,0,,,,,
"3381","Keycoopt","Professional Services","France, Europe","Operating",,2011-01-01,,"Recruiting","11-50",2,2,2014-06-01,0,"Seed",0,3908706,3908706,2,0,,,,,
"3382","Kentaura","Media and Entertainment, Internet Services","Singapore, Central Region, Singapore","Operating",,2011-01-01,,"Social Media","11-50",0,2,2012-05-01,1400000,"Angel",1400000,2300000,2300000,,,,,,,
"3383","Kismet","Media and Entertainment, Internet Services, Mobile","Palo Alto, California, United States","Operating",,2011-02-01,15,"Mobile, Social Media","1-10",2,2,2011-06-03,770000,"Seed",770000,770000,770000,3,0,,,,,
"3384","Kingstown Capital Management",,,"Operating",,,26,,,0,,,0,,0,0,0,,,,,,,
"3385","KidBook","Media and Entertainment, Education, Content and Publishing","Russian Federation, Europe","Operating",,2013-01-01,,"Education, Publishing","1-10",0,1,2014-06-04,3e+05,"Seed",3e+05,3e+05,3e+05,1,0,,,,,
"3386","Kisan Network","Agriculture and Farming, Commerce and Shopping, Mobile","Delhi, Delhi, India","Operating",,2015-08-01,10,"E-Commerce, Agriculture, Mobile","11-50",2,1,2016-03-09,0,"Seed",0,0,0,2,1,,,,,
"3387","Kraft Foods","Travel and Tourism, Food and Beverage","Carthage, Illinois, United States","Was Acquired",,2012-01-01,179,"Hospitality, Food Processing","10001+",0,,,0,,0,0,0,,,"NASDAQ","KRFT",,,2012-09-28
"3388","Knomsy Inc.","Data and Analytics, Financial Services, Design","Palo Alto, California, United States","Operating",,2014-10-15,,"Market Research, Business Development, FinTech, Financial Services","1-10",5,1,2014-12-15,50000,"Angel",50000,50000,50000,,,,,,,
"3389","Kibboko, Inc.","Software","Toronto, Ontario, Canada","Closed",2012-04-12,2003-01-01,,"Software",,1,1,2007-08-14,2500000,"Series B",2500000,2500000,2500000,1,1,,,,,
"3390","Kimengi","Media and Entertainment, Software, Internet Services","Amsterdam, Noord-Holland, The Netherlands","Operating",,2008-08-01,3,"Semantic Web, Developer Tools, Social Media","11-50",2,1,2013-06-01,0,"Angel",0,321650,321650,,,,,,,
"3391","Kitty Hawk","Science and Engineering, Transportation","California, United States, North America","Operating",,2015-01-01,,"Air Transportation, Aerospace, Automotive","11-50",0,1,2016-06-09,0,"Funding Round",0,0,0,1,1,,,,,
"3392","Kirkland North",,"San Francisco, California, United States","Closed",2009-06-04,2008-01-01,5,"Risk Management","1-10",2,2,2008-10-10,225000,"Seed",225000,225000,225000,2,0,,,,,
"3393","Kuknall","Design","Stamboliyski, Plovdiv, Bulgaria","Operating",,2015-01-01,,"Innovation Management, Product Design","1-10",1,1,2015-02-01,0,"Seed",0,28239,28239,1,0,,,,,
"3394","KITE Solutions","Apps, Software, Sales and Marketing, Mobile, Advertising","San Francisco, California, United States","Operating",,2013-01-01,,"Enterprise Software, Mobile, Advertising, Apps, Brand Marketing","11-50",1,2,2016-03-01,0,"Seed",0,0,0,4,0,,,,,
"3395","Kiswe Mobile","Media and Entertainment, Sports, Video, Mobile","New Providence, New Jersey, United States","Operating",,2013-01-01,2,"Sports, Mobile, Video","11-50",3,,,0,,0,0,0,,,,,,,
"3396","Koatum","Health Care","Riga, Riga, Latvia","Operating",,2014-01-01,1,"Health Care, Innovation Management, Medical",,1,1,2014-06-30,0,"Debt Financing",0,0,68312,1,0,,,,,
"3397","Kueri.me","Software","San Francisco, California, United States","Operating",,2013-01-01,2,"Software","1-10",3,,,0,,0,0,0,,,,,,,
"3398","Kinema Systems","Manufacturing, Science and Engineering, Hardware, Software, Transportation","Menlo Park, California, United States","Operating",,,,"Industrial Automation, Manufacturing, Logistics, Robotics",,1,,,0,,0,0,0,,,,,,,
"3399","Kinopto","Hardware, Software","London, England, United Kingdom","Closed",2014-01-01,2011-01-01,,"Software, Hardware","1-10",0,1,2012-08-01,0,"Equity Crowdfunding",0,54781,54781,1,0,,,,,
"3400","Keepstream","Media and Entertainment, Internet Services","Austin, Texas, United States","Was Acquired",,2010-01-01,10,"Social Media, Real Time","1-10",3,1,2010-05-01,20000,"Seed",20000,20000,20000,1,0,,,,,
"3401","Knupath","Science and Engineering, Hardware, Data and Analytics, Software","Austin, Texas, United States","Operating",,,,"Semiconductor, Machine Learning, Hardware",,0,,,0,,0,0,0,,,,,,,
"3402","Kurion","Sustainability, Health Care","Irvine, California, United States","Was Acquired",,1999-01-01,41,"Waste Management, Health Care","51-100",1,,,0,,0,0,0,,,,,,,
"3403","Kotu","Internet Services, Mobile","Los Angeles, California, United States","Operating",,2015-10-21,,"Mobile, Web Hosting","11-50",3,1,2015-10-15,5000,"Seed",5000,5000,5000,,,,,,,
"3404","Kruze Consulting, Inc.","Professional Services, Financial Services",,"Operating",,2012-01-01,1,"Accounting, Financial Services, Human Resources, Consulting","11-50",1,,,0,,0,0,0,,,,,,,
"3405","KillerStartups","Media and Entertainment, Internet Services, Content and Publishing","Columbus, Ohio, United States","Was Acquired",,2007-01-20,23,"Internet, Blogging Platforms","1-10",1,2,2012-09-01,0,"Seed",0,250000,250000,2,0,,,,,
"3406","KnowledgeHook","Education","Waterloo, Ontario, Canada","Operating",,,,"Education","1-10",2,1,2016-12-06,1200000,"Series Unknown",1200000,902812,902812,3,1,,,,,
"3407","Kitchology","Commerce and Shopping, Information Technology, Food and Beverage, Software, Sales and Marketing, Health Care, Internet Services, Mobile","Germantown, Maryland, United States","Operating",,2013-04-26,14,"Health Care, Cooking, Mobile, Shopping, CRM, Search Engine, Product Search","11-50",2,,,0,,0,0,0,,,,,,,
"3408","Kitematic","Software, Internet Services","Kitchener, Ontario, Canada","Was Acquired",,2013-01-01,7,"Cloud Computing, Software, Developer Tools","1-10",3,,,0,,0,0,0,,,,,,,
"3409","Kuveda","Biotechnology, Information Technology, Data and Analytics, Health Care","San Jose, California, United States","Operating",,2014-01-01,,"Genetics, Health Care, Big Data, Information Technology","1-10",0,1,2014-09-19,0,"Series Unknown",0,0,0,1,0,,,,,
"3410","KelBillet","Travel and Tourism, Media and Entertainment, Events, Education","Rennes, Bretagne, France","Operating",,2009-09-01,18,"Travel, Ticketing, Training","11-50",1,1,2010-07-01,0,"Angel",0,246012,246012,2,0,,,,,
"3411","Kopla Games","Gaming, Software, Mobile","Tampere, Western Finland, Finland","Was Acquired",,2015-01-01,1,"Gaming, Web Development, Mobile","1-10",4,1,2016-03-02,0,"Seed",0,761785,761785,1,0,,,,,
"3412","KSKT LLC","Design","Kamakura, Kanagawa, Japan","Operating",,2013-05-10,,"Web Design","1-10",1,1,2013-11-11,10000,"Seed",10000,10000,10000,1,0,,,,,
"3413","Khosla Labs","Financial Services","Bangalore, Karnataka, India","Operating",,2012-01-01,14,"FinTech, Finance","11-50",1,,,0,,0,0,0,,,,,,,
"3414","KENDA SOFTWARE ENTERPRISES LTD","Software, Financial Services, Lending and Investments","Oxford, Oxfordshire, United Kingdom","Operating",,2016-07-21,,"FinTech, Software, Incubators",,1,,,0,,0,0,0,,,,,,,
"3415","Kiwi Information Technology Co.,Ltd.","Hardware, Consumer Electronics, Software, Consumer Goods","Guangdong, Jilin, China","Operating",,2014-01-01,,"SaaS, Drones, Developer Platform",,2,1,2016-08-15,0,"Angel",0,753501,753501,1,0,,,,,
"3416","Kindwave","Commerce and Shopping","Miami, Florida, United States","Operating",,2014-01-01,,"Retail, Marketplace, Social","1-10",1,1,2014-06-01,0,"Angel",0,0,0,,,,,,,
"3417","knowmore","Media and Entertainment, Community and Lifestyle","New York, New York, United States","Operating",,2009-01-01,2,"Content, Lifestyle, Consumer","1-10",3,,,0,,0,0,0,,,,,,,
"3418","Kali","Commerce and Shopping, Health Care","Sunrise, Florida, United States","Operating",,2015-01-01,,"Health Care, Subscription Service, E-Commerce",,1,1,2015-06-17,0,"Angel",0,0,0,,,,,,,
"3419","KrafftIT","Hardware, Software","Santa Clara, California, United States","Operating",,2015-01-01,9,"Hardware, Software","1-10",0,,,0,,0,0,0,,,,,,,
"3420","Kinonation","Hardware, Media and Entertainment, Software, Internet Services, Video","Santa Monica, California, United States","Operating",,2014-01-01,4,"SaaS, Internet, Film Distribution, Software, Cloud Infrastructure","1-10",3,,,0,,0,0,0,,,,,,,
"3421","Kapcher","Media and Entertainment, Video, Content and Publishing","Ultimo, New South Wales, Australia","Operating",,2014-07-30,3,"Video Editing, Content Creators, Photography, Digital Media","1-10",2,,,0,,0,0,0,,,,,,,
"3422","KillBiller","Apps, Hardware, Software, Internet Services, Mobile","Dublin, Dublin, Ireland","Operating",,2013-01-01,3,"Telecommunications, Mobile, Internet, Apps","1-10",0,,,0,,0,0,0,,,,,,,
"3423","Kola Studios","Apps, Media and Entertainment, Software, Mobile","Kampala, Kampala, Uganda","Operating",,2013-06-01,2,"Mobile, Digital Media, Apps","1-10",3,,,0,,0,0,0,,,,,,,
"3424","Keyboardio","Manufacturing, Hardware, Consumer Electronics","Oakland, California, United States","Operating",,2014-02-01,5,"Computer, Electronics, Manufacturing","1-10",2,1,2014-03-06,0,"Convertible Note",0,0,0,1,0,,,,,
"3425","Kreapixel Group","Sales and Marketing, Advertising","Prigonrieux, Aquitaine, France","Operating",,2007-01-01,,"Advertising","11-50",1,,,0,,0,0,0,,,,,,,
"3426","KyMaLabs","Information Technology, Sales and Marketing, Internet Services, Messaging and Telecommunications",,"Operating",,2010-11-01,,"Email, Public Relations","1-10",2,,,0,,0,0,0,,,,,,,
"3427","Koolbit","Gaming, Platforms, Commerce and Shopping, Software, Mobile","San Francisco, California, United States","Operating",,,4,"iOS, E-Commerce, Android, Mobile, Gambling","11-50",1,,,0,,0,0,0,,,,,,,
"3428","KellyWarnerLaw","Media and Entertainment, Professional Services",,"Operating",,2012-01-01,,"Management Consulting, Legal, Advice",,0,,,0,,0,0,0,,,,,,,
"3429","Keyless Pty Ltd","Software","Brisbane, Queensland, Australia","Operating",,2013-10-12,1,"Small and Medium Businesses, Enterprise Software","1-10",0,,,0,,0,0,0,,,,,,,
"3430","Kyte Labs","Hardware, Consumer Electronics, Software","Caguas, NA - Puerto Rico, Puerto Rico","Operating",,2013-01-01,,"Hardware, Software, Consumer Electronics","1-10",2,,,0,,0,0,0,,,,,,,
"3431","Kadevjo Studio","Hardware, Consumer Electronics, Software, Mobile",,"Operating",,2013-06-01,1,"Mobile Devices, Service Industry, Enterprise Software","11-50",0,,,0,,0,0,0,,,,,,,
"3432","Komola","Information Technology","Braunschweig, Niedersachsen, Germany","Operating",,2008-06-01,,"Information Services, Information Technology, Technical Support","1-10",0,,,0,,0,0,0,,,,,,,
"3433","Kingo Labs","Media and Entertainment, Internet Services","Ṣo Paulo, Alagoas, Brazil","Closed",,2009-06-01,4,"Social Media","1-10",0,,,0,,0,0,0,,,,,,,
"3434","KickStart Network","Software, Financial Services, Lending and Investments","San Diego, California, United States","Operating",,2011-01-01,1,"Finance, Incubators, Software, Collaboration","1-10",2,,,0,,0,0,0,,,,,,,
"3435","Kitchen Stadium","Travel and Tourism, Food and Beverage, Administrative Services","Jersey City, New Jersey, United States","Operating",,2014-01-01,2,"Restaurants, Hospitality, Delivery","251-500",0,,,0,,0,0,0,,,,,,,
"3436","KiiLN","Financial Services, Lending and Investments","New York, New York, United States","Operating",,,,"Incubators",,2,,,0,,0,0,0,,,,,,,
"3437","Karmic Bikes","Hardware, Consumer Electronics","Palo Alto, California, United States","Operating",,2014-01-01,1,"Electronics, Women's","1-10",1,,,0,,0,0,0,,,,,,,
"3438","KidBacker","Education, Financial Services",,"Operating",,,,"Education, Crowdfunding, Children","11-50",2,,,0,,0,0,0,,,,,,,
"3439","KOMPANY Startup","Transportation, Financial Services, Lending and Investments","San Francisco, California, United States","Closed",,2012-11-04,,"Incubators, Automotive","1-10",0,,,0,,0,0,0,,,,,,,
"3440","Knowingly","Media and Entertainment, Internet Services, Content and Publishing","Houston, Texas, United States","Operating",,,,"Publishing, Internet","1-10",2,,,0,,0,0,0,,,,,,,
"3441","KBooM! Games","Media and Entertainment, Sales and Marketing, Internet Services, Mobile","Chicago, Illinois, United States","Operating",,2010-01-01,,"Social Media, Mobile, Brand Marketing","11-50",0,,,0,,0,0,0,,,,,,,
"3442","KLAMR","Media and Entertainment, Information Technology, Internet Services, Messaging and Telecommunications","San Francisco, California, United States","Operating",,,,"Social Media, Messaging",,0,,,0,,0,0,0,,,,,,,
"3443","KooBits","Media and Entertainment, Software, Content and Publishing","Singapore, Central Region, Singapore","Operating",,2009-05-01,1,"Publishing, Software","11-50",1,,,0,,0,0,0,,,,,,,
"3444","KanaVape","Biotechnology, Science and Engineering, Hardware, Consumer Electronics, Health Care","San Francisco, California, United States","Operating",,2014-01-01,,"Biotechnology, Electronics, Health Care","1-10",1,,,0,,0,0,0,,,,,,,
"3445","Kkoomdam","Health Care","South Korea, Asia","Operating",,2013-12-27,3,"Underserved Children, Charity, Assisted Living","1-10",0,,,0,,0,0,0,,,,,,,
"3446","Katapult Group","Sales and Marketing","Atlanta, Georgia, United States","Operating",,2010-01-01,,"Small and Medium Businesses, Business Development, Sales","11-50",1,,,0,,0,0,0,,,,,,,
"3447","Kutoa","Science and Engineering, Community and Lifestyle","London, England, United Kingdom","Operating",,2014-01-01,,"Industrial, Communities, Mechanical Engineering","1-10",0,1,2014-04-15,0,"Non-equity Assistance",0,0,0,1,0,,,,,
"3448","Kaplan Index","Professional Services, Education","San Francisco, California, United States","Operating",,2008-12-01,2,"Employment, Education, Recruiting","1-10",1,,,0,,0,0,0,,,,,,,
"3449","Kaboa","Commerce and Shopping","Aschheim, Bayern, Germany","Operating",,2008-01-01,,"Retail, E-Commerce",,2,1,2009-01-21,0,"Seed",0,0,0,1,0,,,,,
"3450","KupiBonus","Commerce and Shopping","Moscow, Moscow City, Russian Federation","Operating",,2010-07-01,,"E-Commerce","51-100",1,1,2010-07-01,0,"Seed",0,0,0,3,0,,,,,
"3451","Kywix","Platforms, Energy, Hardware, Sustainability, Software, Mobile","Wa Keeney, Kansas, United States","Operating",,2009-05-05,,"Software, Hardware, Clean Energy, iOS","1-10",0,,,0,,0,0,0,,,,,,,
"3452","Kapplex","Health Care","Toronto, Ontario, Canada","Was Acquired",,2012-01-01,,"Health Diagnostics",,0,,,0,,0,0,0,,,,,,,
"3453","KillerStartupsDesigns","Internet Services",,"Operating",,2012-04-01,1,"Internet","1-10",1,,,0,,0,0,0,,,,,,,
"3454","Karlo Compare","Commerce and Shopping, Payments, Financial Services, Lending and Investments","Karachi, Sindh, Pakistan","Operating",,2015-01-01,,"Credit Cards, E-Commerce, Finance","1-10",0,1,2016-07-01,0,"Angel",0,0,0,2,0,,,,,
"3455","Kansas City Startup Foundation","Community and Lifestyle, Education","Kansas City, Kansas, United States","Operating",,2014-09-04,,"Education, Communities",,2,,,0,,0,0,0,,,,,,,
"3456","Kionin","Information Technology, Design","San Francisco, California, United States","Operating",,2015-01-01,,"Information Technology, Product Design","1-10",1,,,0,,0,0,0,,,,,,,
