"","Company.Name","Category.Groups","Headquarters.Location","Status","Closed.Date","Founded.Date","Number.of.Articles","Categories","Number.of.Employees","Number.of.Founders","Number.of.Funding.Rounds","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Type","Last.Equity.Funding.Amount","Total.Equity.Funding.Amount","Total.Funding.Amount","Number.of.Investors","Number.of.Lead.Investors","Stock.Exchange","Stock.Symbol","Valuation.at.IPO","Money.Raised.at.IPO","IPO.Date"
"6728","The Guarantors","Real Estate, Financial Services, Lending and Investments","New York, New York, United States","Operating",,2014-01-01,1,"FinTech, Insurance, Real Estate, Credit","11-50",2,1,2016-02-01,0,"Seed",0,0,0,10,0,,,,,
"6729","Tangentix","Manufacturing, Hardware, Information Technology, Software","Sheffield, Sheffield, United Kingdom","Operating",,2009-01-01,4,"Information Technology, 3D Technology, 3D Printing","1-10",1,2,2015-12-15,1e+06,"Series B",1e+06,3100000,3100000,4,0,,,,,
"6730","Technori","Media and Entertainment, Events, Content and Publishing","Chicago, Illinois, United States","Operating",,2010-08-08,23,"Publishing, Events","1-10",4,1,2012-06-25,275000,"Seed",275000,275000,275000,,,,,,,
"6731","TripElephant Inc.","Travel and Tourism, Software","Toronto, Ontario, Canada","Operating",,2014-01-01,,"Travel, Software, Tourism","1-10",0,1,2014-06-01,5e+05,"Angel",5e+05,5e+05,5e+05,,,,,,,
"6732","TopPay","Payments, Financial Services","Ṣo Paulo, Alagoas, Brazil","Operating",,2012-09-06,,"Payments, Financial Services","1-10",0,3,2014-06-01,1e+05,"Seed",1e+05,250000,250000,,,,,,,
"6733","Techmeme","Media and Entertainment, Software, Content and Publishing","San Francisco, California, United States","Operating",,2004-10-16,938,"News, Software","1-10",1,,,0,,0,0,0,,,,,,,
"6734","Trekea","Travel and Tourism, Commerce and Shopping","Paris, Ile-de-France, France","Operating",,2012-01-01,,"Travel, Price Comparison","1-10",1,1,2012-12-04,0,"Series A",0,1701960,1701960,1,1,,,,,
"6735","TopTechPhoto","Media and Entertainment, Software, Content and Publishing","New York, New York, United States","Operating",,2012-12-12,9,"Browser Extensions, Photography, Software, Photo Sharing","1-10",2,2,2013-09-01,30000,"Grant",150000,150000,180000,1,0,,,,,
"6736","TuSimple","Transportation","Beijing, Beijing, China","Operating",,2015-09-01,6,"Autonomous Vehicles",,4,,,0,,0,0,0,,,,,,,
"6737","The Process","Professional Services, Education","Tampa, Florida, United States","Operating",,2014-01-01,,"Skill Assessment, Recruiting","1-10",0,1,2014-10-28,2e+05,"Equity Crowdfunding",2e+05,2e+05,2e+05,,,,,,,
"6738","TinyMob Games","Gaming, Platforms, Software, Mobile","Victoria, British Columbia, Canada","Operating",,2013-09-01,2,"Mobile, iOS, Android, Casual Games","11-50",3,1,2013-11-13,2e+06,"Seed",2e+06,2e+06,2e+06,,,,,,,
"6739","TalentAccurate","Data and Analytics, Software, Administrative Services, Professional Services, Education","North York, Ontario, Canada","Operating",,2017-01-22,8,"Machine Learning, College Recruiting, Recruiting","1-10",1,,,0,,0,0,0,,,,,,,
"6740","Travolver","Travel and Tourism, Media and Entertainment, Internet Services","Moscow, Moscow City, Russian Federation","Closed",2013-04-01,2011-06-01,1,"Travel, Content, Ediscovery","1-10",0,1,2011-06-01,2e+06,"Seed",2e+06,2e+06,2e+06,,,,,,,
"6741","ThreatSpike Labs","Information Technology, Data and Analytics, Privacy and Security","Hatfield, Hertford, United Kingdom","Operating",,2011-06-01,1,"Analytics, Cyber Security","1-10",0,1,2014-06-26,0,"Seed",0,169986,169986,,,,,,,
"6742","TriFort,Inc.","Apps, Software","Shibuya, Kanagawa, Japan","Operating",,2012-01-01,,"Apps, Software",,0,1,2014-02-03,0,"Series A",0,3928115,3928115,,,,,,,
"6743","Transactiv","Sales and Marketing, Advertising","Cincinnati, Ohio, United States","Closed",2013-07-19,2009-07-01,3,"Advertising","11-50",1,1,2009-10-13,1200000,"Series A",1200000,1200000,1200000,5,0,,,,,
"6744","Twigmore","Apps, Travel and Tourism, Software","New York, New York, United States","Closed",2013-05-01,2009-10-15,3,"Travel, Apps","1-10",2,2,2011-10-12,150000,"Angel",150000,275000,275000,,,,,,,
"6745","Titanium Falcon","Hardware, Consumer Electronics, Software, Internet Services, Mobile","Sunnyvale, California, United States","Operating",,2014-08-01,1,"Augmented Reality, Wearables, Mobile, Internet of Things, Virtual Reality",,3,1,2015-09-01,0,"Angel",0,0,0,,,,,,,
"6746","Toyopa Group, LLC","Platforms, Software, Mobile","Los Angeles, California, United States","Operating",,2011-06-24,,"Mobile, iOS","1-10",2,,,0,,0,0,0,,,,,,,
"6747","The App3","Apps, Software, Health Care, Mobile","Porto, Lisboa, Portugal","Operating",,2012-12-01,,"Open Source, Health Care, Apps, Mobile","11-50",0,1,2013-08-01,90000,"Seed",90000,90000,90000,1,0,,,,,
"6748","TouchStream Solutions",,"Rochester, New York, United States","Operating",,2010-01-01,,"Consumer","1-10",0,1,2014-07-01,542748,"Seed",542748,542748,542748,1,0,,,,,
"6749","Terraloupe","Hardware, Data and Analytics, Software","Munich, Bayern, Germany","Operating",,2015-01-01,,"Computer Vision, Machine Learning, Big Data","11-50",0,1,2016-05-19,0,"Seed",0,788919,788919,1,0,,,,,
